"","Biomarker","rf","nb","lasso","pls","xgb"
"1","C0",2.61,9.57,38.34,11.15,14.45
"2","C10",10.34,8.8,14.28,20.68,32
"3","C10.1",7.32,4.25,4.99,0,15.43
"4","C12",15.46,47.52,18.7,59.19,2.14
"5","C14",23.18,38.69,0,57.69,26.7
"6","C14.1",0,14.65,23.98,38.5,3.68
"7","C16.1",20.4,51.08,25.53,61.71,12.05
"8","C16.OH",0.96,15.28,22.48,28.55,9.71
"9","C3",15.76,36.57,65.25,58.48,15.64
"10","C3.DC..C4.OH.",8.43,9.44,17.09,7.47,16.75
"11","C3.OH",3.32,17.7,34.25,26.37,9.36
"12","C5",23.78,56.17,22.09,56.81,10.95
"13","C5.M.DC",20.09,43.64,25.99,58.04,16.41
"14","C5.OH..C3.DC.M.",8.43,24.77,9.43,37.96,0
"15","C6..C4.1.DC.",6.06,0.72,21.52,15.46,17.96
"16","C7.DC",16.61,34.94,30.37,48.44,19.79
"17","C9",5.29,17.55,16.69,33.1,20.59
"18","CE.16.0.",32.98,52.53,100,64.89,33.06
"19","CE.18.3.",38.64,59.09,59.56,64.88,26.06
"20","CE.20.4.",41.48,61.63,34.96,57.58,54.1
"21","CE.22.5.",29.07,52.76,22.65,54.26,18.03
"22","CE.22.6.",39.58,64.33,10.31,66.35,16.12
"23","Cer.d16.1.20.0.",15.93,47.78,11.64,70.82,13.31
"24","Cer.d16.1.22.0.",22.84,38.31,25.14,56.77,38.24
"25","Cer.d18.1.18.0.",17.83,30.63,23.09,42.92,18.66
"26","Cer.d18.1.20.0.",18.69,33.02,23.79,32.65,24.54
"27","Cer.d18.1.20.0.OH..",45.15,79.76,60.52,100,43.86
"28","Cer.d18.1.22.0.",15.16,30.63,42.94,49.42,9.72
"29","Cer.d18.1.24.1.",35.16,41.81,5.2,1.42,25.25
"30","Cer.d18.2.14.0.",7.41,0,13.94,7.25,5.73
"31","Cer.d18.2.16.0.",14.11,44.02,14.58,60.41,18.58
"32","Cer.d18.2.18.1.",18.21,33.39,2.4,17.08,20.02
"33","DG.14.0_14.0.",11.84,14.03,0.42,4.19,11.57
"34","DG.14.0_18.1.",50.1,43.16,15.92,10.07,66.46
"35","DG.14.1_20.2.",13.79,20.23,8.02,27.72,9.65
"36","DG.16.0_16.1.",26.72,41.65,32.2,27.18,27.91
"37","DG.16.0_20.0.",29.67,50.86,27.26,63.21,22.76
"38","DG.16.1_18.1.",17.69,0.35,46.41,57.93,23.8
"39","DG.16.1_18.2.",3.86,2.79,0,1.04,9.22
"40","DG.17.0_17.1.",14.37,31.81,31.1,49.88,20.18
"41","DG.18.1_18.1.",100,100,41.59,75,100
"42","DG.18.1_18.4.",3.14,4.97,0,16.42,3.55
"43","DG.18.1_20.4.",21.01,42.72,31.34,54.58,30.7
"44","DG.18.1_22.5.",6.39,17.96,31.35,43.47,9.75
"45","DG.18.1_22.6.",4.74,1.63,10.02,5.81,9.55
"46","DG.18.2_18.3.",8.25,7.09,16.87,14.57,18.6
"47","DG.18.2_20.0.",2.9,18.64,41.73,45.99,7.33
"48","DG.18.2_20.4.",9.86,13.78,39.42,23.53,18.92
